idx,quantum_classification,train_q,test_auc,test_acc,val_auc,val_acc,#params
0,True,True,85.71876415537776,73.26683291770574,86.7683071936345,74.37686939182453,26908
1,True,True,83.53462139428221,72.06982543640898,86.14751337475883,74.77567298105683,26908
2,True,True,85.53226369545719,73.76558603491273,88.8294481888586,74.8753738783649,26908
3,True,True,85.22281210220505,73.36658354114714,86.5410867748841,75.57328015952145,26908
4,True,True,85.19003010449492,73.91521197007481,86.54820227368933,75.67298105682951,26908
5,True,True,85.80201716354742,73.61596009975062,87.93090211289291,74.57627118644068,26908
6,True,True,84.96762648249148,73.91521197007481,86.83432508245981,73.87836490528414,26908
7,True,True,84.08961962630318,73.21695760598503,86.73022876331726,74.17746759720838,26908
8,True,True,84.96536228741356,72.11970074812967,87.38524750847823,75.2741774675972,26908
9,True,True,81.93141379854751,71.97007481296758,83.82533422675438,74.47657028913261,26908
10,True,True,84.45315909029904,73.46633416458853,83.28063886150204,72.28315054835494,26908
11,True,True,84.79302982538347,72.26932668329177,83.5227608651017,73.87836490528414,26908
12,True,True,85.48569944969772,71.97007481296758,85.87680343131548,74.27716849451646,26908
13,True,True,86.54057907263345,72.96758104738154,86.2970015052715,75.07477567298105,26908
14,True,True,87.02620833764766,72.46882793017456,87.15183601838905,74.67597208374876,26908
15,True,True,85.64336132855885,72.96758104738154,85.91564614460488,74.97507477567298,26908
16,True,True,85.42421695483107,71.47132169576061,85.15527880768407,74.0777666999003,26908
17,True,True,86.13261869669432,74.1645885286783,86.03520847774789,74.97507477567298,26908
18,True,True,84.19056725967744,72.36907730673316,84.95592639324956,75.2741774675972,26908
